"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000009332"," ","ENSCHAG00000009332",NA,"lncRNA","Atlantic herring",15,5.647227,"",53.56,1,1291,NA,1292,NA,NA,1
"ENSCHAG00000009431"," ","ENSCHAG00000009431",NA,"lncRNA","Atlantic herring",15,5.697721,"",58.59,1,1245,NA,1246,NA,NA,1
"ENSCHAG00000009433"," ","ENSCHAG00000009433",NA,"lncRNA","Atlantic herring",15,5.866899,"",53.07,1,1173,NA,1174,NA,NA,1
"ENSCHAG00000004142"," ","ENSCHAG00000004142",NA,"lncRNA","Atlantic herring",17,8.686654,"",60.06,1,1013,NA,1014,NA,NA,1
"ENSCHAG00000010877"," ","ENSCHAG00000010877",NA,"lncRNA","Atlantic herring",17,12.650637,"",50.15,1,6149,NA,4295,NA,NA,5
"ENSCHAG00000013001"," ","ENSCHAG00000013001",NA,"lncRNA","Atlantic herring",17,16.476522,"",48.67,1,2524,NA,1664,NA,NA,3
"ENSCHAG00000013004"," ","ENSCHAG00000013004",NA,"lncRNA","Atlantic herring",17,16.479972,"",49.13,3,26757,NA,1807,NA,NA,9
"ENSCHAG00000013027"," ","ENSCHAG00000013027",NA,"lncRNA","Atlantic herring",17,16.518893,"",58.35,1,1166,NA,1167,NA,NA,1
"ENSCHAG00000013724"," ","ENSCHAG00000013724",NA,"lncRNA","Atlantic herring",17,16.683131,"",41.41,1,1279,NA,1087,NA,NA,2
"ENSCHAG00000013544"," ","ENSCHAG00000013544",NA,"lncRNA","Atlantic herring",17,26.392627,"",41.72,2,4640,NA,2148,NA,NA,4.5
"ENSCHAG00000013546"," ","ENSCHAG00000013546",NA,"lncRNA","Atlantic herring",17,26.395497,"",44.78,1,1598,NA,1239,NA,NA,2
"ENSCHAG00000000570"," ","ENSCHAG00000000570",NA,"lncRNA","Atlantic herring",19,0.176485,"",49.22,1,1726,NA,1727,NA,NA,1
"ENSCHAG00000012361"," ","ENSCHAG00000012361",NA,"lncRNA","Atlantic herring",20,0.906083,"",24.56,1,3777,NA,200,NA,NA,3
"ENSCHAG00000021066"," ","ENSCHAG00000021066",NA,"lncRNA","Atlantic herring",20,13.120297,"",46.63,1,11138,NA,1063,NA,NA,2
"ENSCHAG00000006367"," ","ENSCHAG00000006367",NA,"lncRNA","Atlantic herring",20,22.659074,"",44.11,1,3651,NA,506,NA,NA,3
"ENSCHAG00000006369"," ","ENSCHAG00000006369",NA,"lncRNA","Atlantic herring",20,22.663343,"",44.05,1,1915,NA,836,NA,NA,3
"ENSCHAG00000006372"," ","ENSCHAG00000006372",NA,"lncRNA","Atlantic herring",20,22.667973,"",51.54,1,4549,NA,1226,NA,NA,3
"ENSCHAG00000006374"," ","ENSCHAG00000006374",NA,"lncRNA","Atlantic herring",20,22.672543,"",47.13,1,1586,NA,1587,NA,NA,1
"ENSCHAG00000010174"," ","ENSCHAG00000010174",NA,"lncRNA","Atlantic herring",23,24.771998,"",47.25,3,13670,NA,734,NA,NA,3
"ENSCHAG00000010177"," ","ENSCHAG00000010177",NA,"lncRNA","Atlantic herring",23,24.776363,"",47.42,1,1123,NA,1124,NA,NA,1
"ENSCHAG00000010178"," ","ENSCHAG00000010178",NA,"lncRNA","Atlantic herring",23,24.779693,"",43.95,1,1148,NA,1149,NA,NA,1
"ENSCHAG00000011938"," ","ENSCHAG00000011938",NA,"lncRNA","Atlantic herring",24,5.280953,"",38.7,2,1358,NA,979.5,NA,NA,3.5
"ENSCHAG00000017966"," ","ENSCHAG00000017966",NA,"lncRNA","Atlantic herring",24,5.477873,"",39.5,2,26478,NA,1684.5,NA,NA,6
"ENSCHAG00000022995"," ","ENSCHAG00000022995",NA,"lncRNA","Atlantic herring",25,7.179684,"",39.7,3,3430,NA,1590,NA,NA,5
"ENSCHAG00000007008"," ","ENSCHAG00000007008",NA,"lncRNA","Atlantic herring",26,0.202644,"",50.42,1,6953,NA,3456,NA,NA,7
"ENSCHAG00000007013"," ","ENSCHAG00000007013",NA,"lncRNA","Atlantic herring",26,0.209618,"",53.28,1,1842,NA,1365,NA,NA,2
"ENSCHAG00000007043"," ","ENSCHAG00000007043",NA,"lncRNA","Atlantic herring",26,0.229534,"",51.52,1,3654,NA,2846,NA,NA,3
"ENSCHAG00000002701"," ","ENSCHAG00000002701",NA,"lncRNA","Atlantic herring",26,0.293031,"",53.68,1,1180,NA,1181,NA,NA,1
"ENSCHAG00000002703"," ","ENSCHAG00000002703",NA,"lncRNA","Atlantic herring",26,0.301048,"",46,1,1599,NA,441,NA,NA,3
"ENSCHAG00000008546"," nxph3","ENSCHAG00000008546",NA,"protein_coding","Atlantic herring",1,20.966188,"neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]",46.62,1,18878,813,1571,755,1,2
"ENSCHAG00000008557"," spop","ENSCHAG00000008557",105898864,"protein_coding","Atlantic herring",1,21.06258,"speckle type BTB/POZ protein [Source:NCBI gene;Acc:105898864]",45.85,5,80083,1125,2666,193,1124,11
"ENSCHAG00000008704"," ","ENSCHAG00000008704",105898660,"protein_coding","Atlantic herring",1,21.177555,"cytochrome c oxidase subunit NDUFA4-like [Source:NCBI gene;Acc:105898660]",39.3,2,3264,249,884,363,270,3.5
"ENSCHAG00000008733"," slc35b1","ENSCHAG00000008733",NA,"protein_coding","Atlantic herring",1,21.183442,"solute carrier family 35 member B1 [Source:NCBI gene;Acc:447844]",42.92,9,8024,1029,2217,628,1187,10
"ENSCHAG00000009073"," fam117aa","ENSCHAG00000009073",NA,"protein_coding","Atlantic herring",1,21.192625,"family with sequence similarity 117 member Aa [Source:ZFIN;Acc:ZDB-GENE-110606-4]",46.34,3,11128,1093.5,2418.5,733,999,7
"ENSCHAG00000017053"," ","ENSCHAG00000017053",NA,"protein_coding","Atlantic herring",2,0.005503,"",41.34,6,193921,3456,4907,82,999,13.5
"ENSCHAG00000017181"," ","ENSCHAG00000017181",NA,"protein_coding","Atlantic herring",2,0.090017,"",41.39,1,125391,834,945,108,1,5
"ENSCHAG00000017233"," ","ENSCHAG00000017233",NA,"protein_coding","Atlantic herring",2,0.257972,"",47.23,2,4320,676.5,1653,143,687.5,6
"ENSCHAG00000017247"," ","ENSCHAG00000017247",NA,"protein_coding","Atlantic herring",2,0.270864,"",44.61,1,8459,1176,2304,127,999,8
"ENSCHAG00000017256"," hdac3","ENSCHAG00000017256",105898498,"protein_coding","Atlantic herring",2,0.279403,"histone deacetylase 3 [Source:NCBI gene;Acc:105898498]",47.11,1,3981,1287,3609,839,1481,2
"ENSCHAG00000017269"," ","ENSCHAG00000017269",NA,"protein_coding","Atlantic herring",2,0.28054,"",52.51,1,557,558,558,NA,NA,1
"ENSCHAG00000017274"," RSPH1","ENSCHAG00000017274",NA,"protein_coding","Atlantic herring",2,0.284566,"radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]",41.98,1,3879,954,1842,197,689,7
"ENSCHAG00000000605"," ","ENSCHAG00000000605",NA,"protein_coding","Atlantic herring",2,0.290735,"",44.99,2,27857,1537.5,2897.5,782,576,16.5
"ENSCHAG00000000887"," dhrs12","ENSCHAG00000000887",NA,"protein_coding","Atlantic herring",2,0.384437,"dehydrogenase/reductase (SDR family) member 12 [Source:ZFIN;Acc:ZDB-GENE-060929-1134]",45.99,2,12437,1044,2572,NA,1527,9
"ENSCHAG00000001113"," wdfy2","ENSCHAG00000001113",105905178,"protein_coding","Atlantic herring",2,0.39762,"WD repeat and FYVE domain-containing protein 2-like [Source:NCBI gene;Acc:105905178]",45.5,5,31366,1233,1233,NA,75,11
"ENSCHAG00000001466"," FAM124A","ENSCHAG00000001466",NA,"protein_coding","Atlantic herring",2,0.446821,"si:dkeyp-74a11.1 [Source:ZFIN;Acc:ZDB-GENE-081104-474]",47.91,2,13340,1464,2782.5,206.5,1110,3
"ENSCHAG00000001500"," ","ENSCHAG00000001500",NA,"protein_coding","Atlantic herring",2,0.46142,"",46.29,3,38944,1431,1431,106,NA,13
"ENSCHAG00000007933"," ","ENSCHAG00000007933",NA,"protein_coding","Atlantic herring",2,1.501489,"",41.69,1,242670,1143,1530,NA,386,6
"ENSCHAG00000008082"," ","ENSCHAG00000008082",NA,"protein_coding","Atlantic herring",2,1.7206,"",45.04,1,2861,1563,1693,83,45,2
"ENSCHAG00000008095"," ","ENSCHAG00000008095",NA,"protein_coding","Atlantic herring",2,1.749956,"",46.28,4,69906,1044,1833,717,215,7.5
"ENSCHAG00000008402"," ","ENSCHAG00000008402",NA,"protein_coding","Atlantic herring",2,1.84087,"",47.48,1,17620,2076,3172,214,665,8
"ENSCHAG00000008414"," ","ENSCHAG00000008414",105888513,"protein_coding","Atlantic herring",2,1.86841,"chromosome unknown open reading frame, human C21orf62 [Source:NCBI gene;Acc:105888513]",53.26,1,1719,867,867,NA,NA,2
"ENSCHAG00000008469"," ","ENSCHAG00000008469",NA,"protein_coding","Atlantic herring",2,1.904068,"",40,2,7079,411,1839,213,631,3.5
"ENSCHAG00000017746"," ","ENSCHAG00000017746",NA,"protein_coding","Atlantic herring",2,10.392972,"",42.91,5,147478,4542,6076,59,1279,4
"ENSCHAG00000017769"," ","ENSCHAG00000017769",NA,"protein_coding","Atlantic herring",2,10.40829,"",41.71,1,4996,4530,4530,NA,NA,2
"ENSCHAG00000017950"," ","ENSCHAG00000017950",NA,"protein_coding","Atlantic herring",2,10.4479,"",45.23,1,151358,594,594,NA,NA,3
"ENSCHAG00000017978"," tfcp2l1","ENSCHAG00000017978",NA,"protein_coding","Atlantic herring",2,10.45515,"transcription factor CP2-like 1 [Source:ZFIN;Acc:ZDB-GENE-040704-58]",42.54,1,10890,1362,1362,NA,NA,13
"ENSCHAG00000018184"," clasp1a","ENSCHAG00000018184",NA,"protein_coding","Atlantic herring",2,10.473804,"cytoplasmic linker associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-081104-520]",46.26,10,178111,4374,4925,550,NA,31
"ENSCHAG00000020700"," ","ENSCHAG00000020700",NA,"protein_coding","Atlantic herring",2,10.601179,"",46.94,1,59834,909,909,NA,NA,3
"ENSCHAG00000020721"," ","ENSCHAG00000020721",NA,"protein_coding","Atlantic herring",2,10.665026,"",40.03,2,13017,982.5,1813.5,317,512,7.5
"ENSCHAG00000020732"," ","ENSCHAG00000020732",NA,"protein_coding","Atlantic herring",2,10.692469,"",39.94,2,5988,630,1722,128.5,274,4.5
"ENSCHAG00000020744"," ","ENSCHAG00000020744",NA,"protein_coding","Atlantic herring",2,10.692469,"",40.87,1,2950,657,657,NA,NA,2
"ENSCHAG00000002100"," kdm6a","ENSCHAG00000002100",NA,"protein_coding","Atlantic herring",2,22.994728,"lysine (K)-specific demethylase 6A [Source:ZFIN;Acc:ZDB-GENE-081105-56]",44.62,8,68050,4137,4597,NA,459,30
"ENSCHAG00000022620"," dipk2b","ENSCHAG00000022620",NA,"protein_coding","Atlantic herring",2,23.064604,"divergent protein kinase domain 2B [Source:ZFIN;Acc:ZDB-GENE-110411-223]",45.64,1,6112,1377,1691,NA,313,6
"ENSCHAG00000022629"," ccdc80","ENSCHAG00000022629",105908988,"protein_coding","Atlantic herring",2,23.219658,"coiled-coil domain-containing protein 80-like [Source:NCBI gene;Acc:105908988]",46.7,1,15456,2646,3954,977,329,7
"ENSCHAG00000022633"," slc35a5","ENSCHAG00000022633",105908995,"protein_coding","Atlantic herring",2,23.236283,"solute carrier family 35 member A5 [Source:NCBI gene;Acc:105908995]",47.15,2,5363,1419,2424.5,66,937.5,5.5
"ENSCHAG00000022668"," f5","ENSCHAG00000022668",NA,"protein_coding","Atlantic herring",2,23.24341,"coagulation factor V [Source:ZFIN;Acc:ZDB-GENE-030131-5531]",41.9,10,17034,4167,4302,120,162,24.5
"ENSCHAG00000022945"," gpr161","ENSCHAG00000022945",NA,"protein_coding","Atlantic herring",2,23.261845,"G protein-coupled receptor 161 [Source:NCBI gene;Acc:368421]",47.35,1,7469,1647,3470,580,1241,5
"ENSCHAG00000022971"," dcaf6","ENSCHAG00000022971",NA,"protein_coding","Atlantic herring",2,23.273635,"ddb1 and cul4 associated factor 6 [Source:ZFIN;Acc:ZDB-GENE-090206-2]",45.22,10,36716,2289,2776,486,NA,17
"ENSCHAG00000008521"," shank3a","ENSCHAG00000008521",NA,"protein_coding","Atlantic herring",3,14.509907,"SH3 and multiple ankyrin repeat domains 3a [Source:ZFIN;Acc:ZDB-GENE-060503-369]",47.42,7,302800,5037,6724,334,999,28
"ENSCHAG00000008836"," ","ENSCHAG00000008836",NA,"protein_coding","Atlantic herring",3,14.822693,"",46.09,1,856,681,681,NA,NA,2
"ENSCHAG00000008855"," rabl2","ENSCHAG00000008855",105912558,"protein_coding","Atlantic herring",3,14.829849,"RAB, member of RAS oncogene family like 2A [Source:NCBI gene;Acc:105912558]",46.74,5,5592,675,2404,651,1547,9
"ENSCHAG00000009083"," ODF3","ENSCHAG00000009083",105912557,"protein_coding","Atlantic herring",3,14.841572,"outer dense fiber of sperm tails 3 [Source:NCBI gene;Acc:105912557]",52.02,1,1779,777,838,NA,60,6
"ENSCHAG00000009109"," zgc:77752","ENSCHAG00000009109",NA,"protein_coding","Atlantic herring",3,14.847366,"zgc:77752 [Source:ZFIN;Acc:ZDB-GENE-040426-1867]",47.11,1,6057,1452,1452,NA,NA,6
"ENSCHAG00000009143"," arf5","ENSCHAG00000009143",105912562,"protein_coding","Atlantic herring",3,14.889239,"ADP-ribosylation factor 4 [Source:NCBI gene;Acc:105912562]",45.12,2,6324,543,3027,215,2267,5.5
"ENSCHAG00000021723"," vwf","ENSCHAG00000021723",NA,"protein_coding","Atlantic herring",3,16.683838,"von Willebrand factor [Source:ZFIN;Acc:ZDB-GENE-070103-1]",48.35,1,38282,8196,8823,626,NA,54
"ENSCHAG00000006657"," usp3","ENSCHAG00000006657",NA,"protein_coding","Atlantic herring",3,18.293127,"ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142]",44.38,10,23131,1653,2642,483,999,17
"ENSCHAG00000007655"," ","ENSCHAG00000007655",NA,"protein_coding","Atlantic herring",3,18.297086,"",41.77,1,655,282,282,NA,NA,2
"ENSCHAG00000007717"," DAPK2","ENSCHAG00000007717",NA,"protein_coding","Atlantic herring",3,18.423005,"death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]",47.36,4,29749,1171.5,1171.5,NA,NA,9
"ENSCHAG00000007897"," tbc1d2b","ENSCHAG00000007897",NA,"protein_coding","Atlantic herring",3,18.455689,"TBC1 domain family, member 2B [Source:ZFIN;Acc:ZDB-GENE-100922-148]",45.85,1,29587,2907,5097,136,2052,13
"ENSCHAG00000007931"," cib2","ENSCHAG00000007931",105892468,"protein_coding","Atlantic herring",3,18.51003,"calcium and integrin binding family member 2 [Source:NCBI gene;Acc:105892468]",44.19,2,37160,660,1549,327,560,6
"ENSCHAG00000007974"," lrrc61","ENSCHAG00000007974",105892521,"protein_coding","Atlantic herring",3,18.538549,"leucine rich repeat containing 61 [Source:NCBI gene;Acc:105892521]",38.7,4,7988,777,2048,NA,1270,9
"ENSCHAG00000008118"," idh3a","ENSCHAG00000008118",105892520,"protein_coding","Atlantic herring",3,18.547211,"isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:NCBI gene;Acc:105892520]",43.61,8,11081,1092,1847,143,754,10
"ENSCHAG00000009400"," DNAJA4","ENSCHAG00000009400",NA,"protein_coding","Atlantic herring",3,18.556418,"DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]",43.25,1,14877,1365,2959,152,610,11
"ENSCHAG00000009594"," acsbg1","ENSCHAG00000009594",105892397,"protein_coding","Atlantic herring",3,18.558451,"acyl-CoA synthetase bubblegum family member 1 [Source:NCBI gene;Acc:105892397]",44.51,10,7772,2013,2100,51.5,NA,14
"ENSCHAG00000010048"," rps27l","ENSCHAG00000010048",NA,"protein_coding","Atlantic herring",3,18.571523,"ribosomal protein S27 like [Source:ZFIN;Acc:ZDB-GENE-060331-65]",39.96,3,1876,300,300,NA,NA,4
"ENSCHAG00000010155"," megf8","ENSCHAG00000010155",105892440,"protein_coding","Atlantic herring",3,18.574531,"RAB8B, member RAS oncogene family [Source:NCBI gene;Acc:105892440]",46.5,3,15810,594,738,143,2798,7
"ENSCHAG00000010296"," trpm1b","ENSCHAG00000010296",NA,"protein_coding","Atlantic herring",3,18.59193,"transient receptor potential cation channel, subfamily M, member 1b [Source:ZFIN;Acc:ZDB-GENE-070424-31]",47.76,10,43880,5370,6526,276,NA,27
"ENSCHAG00000013364"," ","ENSCHAG00000013364",NA,"protein_coding","Atlantic herring",3,18.60249,"",50.85,1,760,204,204,NA,NA,2
"ENSCHAG00000015392"," th","ENSCHAG00000015392",105900747,"protein_coding","Atlantic herring",3,25.59619,"tyrosine hydroxylase [Source:NCBI gene;Acc:105900747]",42.4,6,9847,1341,2197,185,762,12.5
"ENSCHAG00000016146"," ","ENSCHAG00000016146",NA,"protein_coding","Atlantic herring",3,25.636302,"si:dkeyp-19e1.3 [Source:ZFIN;Acc:ZDB-GENE-081104-56]",48.76,1,13092,2352,3892,NA,1539,13
"ENSCHAG00000016164"," ","ENSCHAG00000016164",105900785,"protein_coding","Atlantic herring",3,25.649135,"ubiquitin-conjugating enzyme E2 variant 3-like [Source:NCBI gene;Acc:105900785]",43.24,1,5864,1416,2589,NA,1172,12
"ENSCHAG00000016320"," spty2d1","ENSCHAG00000016320",NA,"protein_coding","Atlantic herring",3,25.656222,"SPT2 chromatin protein domain containing 1 [Source:NCBI gene;Acc:337191]",47.31,2,4723,1980,2876,894,0,6
"ENSCHAG00000016338"," tmem86a","ENSCHAG00000016338",105900790,"protein_coding","Atlantic herring",3,25.661073,"transmembrane protein 86A [Source:NCBI gene;Acc:105900790]",44.9,1,4195,714,890,175,NA,3
"ENSCHAG00000016361"," b4galnt4a","ENSCHAG00000016361",NA,"protein_coding","Atlantic herring",3,25.696284,"beta-1,4-N-acetyl-galactosaminyl transferase 4a [Source:ZFIN;Acc:ZDB-GENE-100422-4]",47.88,5,156092,2319,3799,NA,1479,17
"ENSCHAG00000016981"," abtb2b","ENSCHAG00000016981",NA,"protein_coding","Atlantic herring",3,25.853761,"ankyrin repeat and BTB (POZ) domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-100422-14]",48.92,3,51624,3132,4632,378.5,740,18
"ENSCHAG00000023183"," bmp7b","ENSCHAG00000023183",NA,"protein_coding","Atlantic herring",4,7.8769,"bone morphogenetic protein 7b [Source:ZFIN;Acc:ZDB-GENE-060929-328]",47.63,3,28010,1194,2422,447,698,6
"ENSCHAG00000023191"," spo11","ENSCHAG00000023191",NA,"protein_coding","Atlantic herring",4,7.910411,"SPO11 initiator of meiotic double stranded breaks [Source:ZFIN;Acc:ZDB-GENE-040426-1900]",43.62,2,6627,1119,1119,NA,NA,12.5
"ENSCHAG00000023223"," rbm38","ENSCHAG00000023223",105906784,"protein_coding","Atlantic herring",4,7.924348,"RNA-binding protein 38-like [Source:NCBI gene;Acc:105906784]",46.18,1,13571,717,2540,519,1302,4
"ENSCHAG00000023231"," mipb","ENSCHAG00000023231",105906797,"protein_coding","Atlantic herring",4,7.941307,"lens fiber major intrinsic protein-like [Source:NCBI gene;Acc:105906797]",48.59,1,2156,792,1215,NA,422,4
"ENSCHAG00000023236"," ","ENSCHAG00000023236",105906783,"protein_coding","Atlantic herring",4,7.9473,"aquaporin-4-like [Source:NCBI gene;Acc:105906783]",46.56,1,2776,855,855,NA,NA,6
"ENSCHAG00000023256"," baz2a","ENSCHAG00000023256",105906782,"protein_coding","Atlantic herring",4,7.95369,"bromodomain adjacent to zinc finger domain protein 2A-like [Source:NCBI gene;Acc:105906782]",49.31,2,20506,8169,9747,NA,1577,28
"ENSCHAG00000023309"," ptges3b","ENSCHAG00000023309",105906841,"protein_coding","Atlantic herring",4,7.978655,"prostaglandin E synthase 3-like [Source:NCBI gene;Acc:105906841]",39.14,1,4736,480,1889,400,1007,8
"ENSCHAG00000023337"," itga5","ENSCHAG00000023337",105906789,"protein_coding","Atlantic herring",4,7.999404,"integrin alpha-5-like [Source:NCBI gene;Acc:105906789]",46.75,9,44795,2883,6036,312,2950,24
"ENSCHAG00000023888"," csrnp2","ENSCHAG00000023888",NA,"protein_coding","Atlantic herring",4,8.084838,"cysteine-serine-rich nuclear protein 2 [Source:ZFIN;Acc:ZDB-GENE-090312-137]",53.02,1,2911,1224,1224,NA,NA,4
"ENSCHAG00000023898"," ","ENSCHAG00000023898",NA,"protein_coding","Atlantic herring",4,8.089404,"",44.4,1,30204,2379,4408,401,1626,25
"ENSCHAG00000023907"," or135-1","ENSCHAG00000023907",105906778,"protein_coding","Atlantic herring",4,8.125738,"olfactory receptor 1M1-like [Source:NCBI gene;Acc:105906778]",51.17,1,1410,951,951,NA,NA,2
"ENSCHAG00000023913"," fmodb","ENSCHAG00000023913",105906776,"protein_coding","Atlantic herring",4,8.130495,"fibromodulin [Source:NCBI gene;Acc:105906776]",44.58,3,2545,1011,1011,NA,NA,3
