# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002519	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002574	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002638	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002667	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002681	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001530	protein_coding	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001547	protein_coding	0	0	0	9	0	0	0	1	5	0	0	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001570	protein_coding	0	0	0	9	0	0	0	1	5	0	0	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001600	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002138	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002210	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002250	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000007369	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000007658	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000007705	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000007769	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000008140	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001309	ENSCHAG00000001309	ENSCHAT00000008211	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001523	ENSCHAG00000001523	ENSCHAT00000002548	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000001572	ENSCHAG00000001572	ENSCHAT00000002538	protein_coding	0	0	2	11	0	0	1	1	9	2	0	0	0	0	0	0	0	0
ENSCHAG00000001572	ENSCHAG00000001572	ENSCHAT00000002545	protein_coding	0	0	2	10	0	0	0	5	3	2	0	0	0	0	0	0	0	2
ENSCHAG00000001589	ENSCHAG00000001589	ENSCHAT00000002562	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000001589	ENSCHAG00000001589	ENSCHAT00000002564	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000001601	ENSCHAG00000001601	ENSCHAT00000002590		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000001601	ENSCHAG00000001601	ENSCHAT00000002601		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000001601	ENSCHAG00000001601	ENSCHAT00000002611		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000001601	ENSCHAG00000001601	ENSCHAT00000002618		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000001648	ENSCHAG00000001648	ENSCHAT00000002691		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000001677	ENSCHAG00000001677	ENSCHAT00000002744	protein_coding	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003669	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003694	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003702	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003868	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003984	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004003	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004022	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004049	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001981	ENSCHAG00000001981	ENSCHAT00000003439	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003516	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003521	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003574	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003633	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003710	protein_coding	0	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003772	protein_coding	0	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003833	protein_coding	0	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0	6
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003917	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSCHAG00000002034	ENSCHAG00000002034	ENSCHAT00000003972	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003885	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003902	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002339	ENSCHAG00000002339	ENSCHAT00000004151	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002345	ENSCHAG00000002345	ENSCHAT00000004160	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSCHAG00000002364	ENSCHAG00000002364	ENSCHAT00000004209	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002365	ENSCHAG00000002365	ENSCHAT00000004223	protein_coding	0	0	0	9	1	0	0	1	6	0	0	0	0	0	0	0	0	1
ENSCHAG00000002365	ENSCHAG00000002365	ENSCHAT00000004405	protein_coding	0	0	0	6	0	0	0	4	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000002365	ENSCHAG00000002365	ENSCHAT00000004418	protein_coding	0	0	0	7	1	0	1	1	1	0	0	0	0	0	0	0	0	3
ENSCHAG00000002377	ENSCHAG00000002377	ENSCHAT00000004213	protein_coding	0	1	8	1	0	0	0	1	0	8	0	0	0	0	0	0	1	0
ENSCHAG00000002400	ENSCHAG00000002400	ENSCHAT00000004227		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002407	ENSCHAG00000002407	ENSCHAT00000004335		0	2	0	99	0	0	0	9	71	0	19	0	0	2	0	0	0	2
ENSCHAG00000002463	ENSCHAG00000002463	ENSCHAT00000004312	protein_coding	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000002471	ENSCHAG00000002471	ENSCHAT00000004326	protein_coding	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002476	ENSCHAG00000002476	ENSCHAT00000004441	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002492	ENSCHAG00000002492	ENSCHAT00000004340		0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000002517	ENSCHAG00000002517	ENSCHAT00000004373		0	0	0	12	0	0	0	7	0	0	1	0	0	0	0	0	0	4
ENSCHAG00000002522	ENSCHAG00000002522	ENSCHAT00000004377		0	0	0	14	0	0	0	6	1	0	0	0	0	0	0	0	0	7
ENSCHAG00000002655	ENSCHAG00000002655	ENSCHAT00000004554	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000002655	ENSCHAG00000002655	ENSCHAT00000004603	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000002655	ENSCHAG00000002655	ENSCHAT00000004690	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000002655	ENSCHAG00000002655	ENSCHAT00000004867	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000028876	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000029144	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000029586	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000029832	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000029992	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000030211	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000030236	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000030269	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000030328	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003239	ENSCHAG00000003239	ENSCHAT00000030383	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003257	ENSCHAG00000003257	ENSCHAT00000005636		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003480	ENSCHAG00000003480	ENSCHAT00000006145		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003484	ENSCHAG00000003484	ENSCHAT00000006153	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003903	ENSCHAG00000003903	ENSCHAT00000007027	protein_coding	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000004520	ENSCHAG00000004520	ENSCHAT00000008244	protein_coding	0	0	1	7	0	0	0	0	7	1	0	0	0	0	0	0	0	0
ENSCHAG00000004528	ENSCHAG00000004528	ENSCHAT00000008346	protein_coding	0	0	0	9	0	0	0	6	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000004556	ENSCHAG00000004556	ENSCHAT00000008363	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000004628	ENSCHAG00000004628	ENSCHAT00000008464	protein_coding	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	6
ENSCHAG00000005145	ENSCHAG00000005145	ENSCHAT00000009560		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSCHAG00000005835	ENSCHAG00000005835	ENSCHAT00000011335	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000006255	ENSCHAG00000006255	ENSCHAT00000012256		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000006256	ENSCHAG00000006256	ENSCHAT00000012259		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000006320	ENSCHAG00000006320	ENSCHAT00000012431		0	0	0	29	0	0	0	3	11	0	4	0	0	0	0	0	0	11
ENSCHAG00000006320	ENSCHAG00000006320	ENSCHAT00000012433		0	0	0	29	0	0	0	3	11	0	4	0	0	0	0	0	0	11
ENSCHAG00000006320	ENSCHAG00000006320	ENSCHAT00000012438		0	0	0	29	0	0	0	3	11	0	4	0	0	0	0	0	0	11
ENSCHAG00000006320	ENSCHAG00000006320	ENSCHAT00000012440		0	0	0	26	0	0	0	9	0	0	6	0	0	0	0	0	0	11
ENSCHAG00000006367	ENSCHAG00000006367	ENSCHAT00000012554		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000006369	ENSCHAG00000006369	ENSCHAT00000012559		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006372	ENSCHAG00000006372	ENSCHAT00000012564		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006374	ENSCHAG00000006374	ENSCHAT00000012567		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006426	ENSCHAG00000006426	ENSCHAT00000012691	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000006440	ENSCHAG00000006440	ENSCHAT00000012717	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000006541	ENSCHAG00000006541	ENSCHAT00000012962		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006672	ENSCHAG00000006672	ENSCHAT00000013270	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000006983	ENSCHAG00000006983	ENSCHAT00000013999	protein_coding	0	0	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ENSCHAG00000006998	ENSCHAG00000006998	ENSCHAT00000014053	protein_coding	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	3
ENSCHAG00000007019	ENSCHAG00000007019	ENSCHAT00000014070		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000007056	ENSCHAG00000007056	ENSCHAT00000014137	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007137	ENSCHAG00000007137	ENSCHAT00000014335		0	0	0	11	0	0	0	5	5	0	0	0	0	0	0	0	0	1
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000015821	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016027	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016064	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016100	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016127	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016179	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016237	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016296	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007311	ENSCHAG00000007311	ENSCHAT00000016327	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000007454	ENSCHAG00000007454	ENSCHAT00000015074	protein_coding	0	0	0	7	0	0	0	1	2	0	0	0	0	0	0	0	0	4
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016068	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016124	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016167	protein_coding	1	0	0	17	1	0	0	3	9	0	0	1	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016203	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016252	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016291	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016324	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	0	0	5
ENSCHAG00000007524	ENSCHAG00000007524	ENSCHAT00000015261	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000007836	ENSCHAG00000007836	ENSCHAT00000016082	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000007942	ENSCHAG00000007942	ENSCHAT00000016245		0	0	0	8	0	0	0	2	2	0	2	0	0	0	0	0	0	2
ENSCHAG00000007945	ENSCHAG00000007945	ENSCHAT00000016258	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000007985	ENSCHAG00000007985	ENSCHAT00000016346	protein_coding	0	0	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	5
ENSCHAG00000007992	ENSCHAG00000007992	ENSCHAT00000016357	protein_coding	0	0	0	8	0	0	5	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000007992	ENSCHAG00000007992	ENSCHAT00000016402	protein_coding	0	0	0	8	0	0	5	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000007992	ENSCHAG00000007992	ENSCHAT00000016426	protein_coding	0	0	0	8	0	0	5	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000007992	ENSCHAG00000007992	ENSCHAT00000016446	protein_coding	0	0	0	8	0	0	5	2	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000007992	ENSCHAG00000007992	ENSCHAT00000016488	protein_coding	0	0	0	8	0	0	0	2	1	0	0	0	0	0	0	0	0	5
ENSCHAG00000007996	ENSCHAG00000007996	ENSCHAT00000016375	protein_coding	0	0	0	8	0	0	0	1	6	0	0	0	0	0	0	0	0	1
ENSCHAG00000008054	ENSCHAG00000008054	ENSCHAT00000016512	protein_coding	0	0	1	13	0	0	0	9	2	1	0	0	0	0	0	0	0	2
ENSCHAG00000008071	ENSCHAG00000008071	ENSCHAT00000016912	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000008071	ENSCHAG00000008071	ENSCHAT00000016965	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000021580	protein_coding	0	0	0	41	0	0	1	1	38	0	0	0	0	0	0	0	0	1
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000021618	protein_coding	0	0	0	41	0	0	1	1	38	0	0	0	0	0	0	0	0	1
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000021640	protein_coding	0	0	0	41	0	0	1	1	38	0	0	0	0	0	0	0	0	1
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000021865	protein_coding	0	0	0	20	0	0	0	1	19	0	0	0	0	0	0	0	0	0
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022038	protein_coding	0	0	0	20	0	0	0	1	19	0	0	0	0	0	0	0	0	0
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022212	protein_coding	0	0	0	20	0	0	0	1	19	0	0	0	0	0	0	0	0	0
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022277	protein_coding	0	0	0	20	0	0	0	1	19	0	0	0	0	0	0	0	0	0
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022304	protein_coding	0	0	0	20	0	0	0	1	18	0	0	0	0	0	0	0	0	1
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022466	protein_coding	0	0	0	16	0	0	0	1	13	0	0	0	0	0	0	0	0	2
ENSCHAG00000008138	ENSCHAG00000008138	ENSCHAT00000022531	protein_coding	0	0	0	16	0	0	0	1	13	0	0	0	0	0	0	0	0	2
ENSCHAG00000008333	ENSCHAG00000008333	ENSCHAT00000017199	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000008339	ENSCHAG00000008339	ENSCHAT00000017212	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
ENSCHAG00000008348	ENSCHAG00000008348	ENSCHAT00000017233	protein_coding	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2
ENSCHAG00000008446	ENSCHAG00000008446	ENSCHAT00000017464	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000008553	ENSCHAG00000008553	ENSCHAT00000017705	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000008805	ENSCHAG00000008805	ENSCHAT00000018434	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000008805	ENSCHAG00000008805	ENSCHAT00000018556	protein_coding	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0
