# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002236	protein_coding	0	0	1	39	0	0	0	0	35	1	0	0	0	0	0	4
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002284	protein_coding	0	0	1	39	0	0	0	0	35	1	0	0	0	0	0	4
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002372	protein_coding	0	0	1	39	0	0	0	0	35	1	0	0	0	0	0	4
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002446	protein_coding	0	1	0	14	0	0	0	0	12	0	0	0	0	0	1	2
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002532	protein_coding	0	2	6	63	4	0	0	3	56	6	0	0	0	0	2	0
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002642	protein_coding	0	1	3	34	4	0	0	3	25	3	0	0	0	0	1	2
ENSCHAG00000001305	ENSCHAG00000001305	ENSCHAT00000002044		0	0	0	6	0	0	0	1	1	0	1	0	0	0	0	3
ENSCHAG00000001305	ENSCHAG00000001305	ENSCHAT00000002052		0	0	0	6	0	0	0	1	0	0	1	0	0	0	0	4
ENSCHAG00000001325	ENSCHAG00000001325	ENSCHAT00000002065	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001523	ENSCHAG00000001523	ENSCHAT00000002548	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000001660	ENSCHAG00000001660	ENSCHAT00000002707	protein_coding	0	0	0	19	0	0	0	17	0	0	0	0	0	0	0	2
ENSCHAG00000001664	ENSCHAG00000001664	ENSCHAT00000002716		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000001670	ENSCHAG00000001670	ENSCHAT00000002731	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0
ENSCHAG00000001676	ENSCHAG00000001676	ENSCHAT00000002740	protein_coding	0	0	0	15	0	0	0	3	5	0	0	0	0	0	0	7
ENSCHAG00000001677	ENSCHAG00000001677	ENSCHAT00000002744	protein_coding	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	4
ENSCHAG00000001741	ENSCHAG00000001741	ENSCHAT00000002892	pseudogene	0	0	0	6	0	0	0	2	1	0	0	0	0	0	0	3
ENSCHAG00000001893	ENSCHAG00000001893	ENSCHAT00000003174		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ENSCHAG00000002075	ENSCHAG00000002075	ENSCHAT00000003578	protein_coding	0	0	0	16	0	0	0	0	14	0	0	0	0	0	0	2
ENSCHAG00000002075	ENSCHAG00000002075	ENSCHAT00000003608	protein_coding	0	0	0	16	0	0	0	0	14	0	0	0	0	0	0	2
ENSCHAG00000002124	ENSCHAG00000002124	ENSCHAT00000003704		0	0	0	9	0	0	0	6	0	0	3	0	0	0	0	0
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003885	protein_coding	0	0	0	7	0	0	0	5	2	0	0	0	0	0	0	0
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003902	protein_coding	0	0	0	7	0	0	0	5	2	0	0	0	0	0	0	0
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003931		0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	10
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003945		0	0	0	16	0	0	0	4	2	0	1	0	0	0	0	9
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003951		0	0	0	16	0	0	0	4	2	0	1	0	0	0	0	9
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003967		0	0	0	15	0	0	0	5	5	0	2	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003976		0	0	0	15	0	0	0	5	5	0	2	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003986		0	0	0	15	0	0	0	7	0	0	5	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003991		0	0	0	17	0	0	0	12	0	0	0	0	0	0	0	5
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000004000		0	0	0	15	0	0	0	10	0	0	0	0	0	0	0	5
ENSCHAG00000002344	ENSCHAG00000002344	ENSCHAT00000004185	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000002830	ENSCHAG00000002830	ENSCHAT00000004924	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002887	ENSCHAG00000002887	ENSCHAT00000005009	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
ENSCHAG00000002915	ENSCHAG00000002915	ENSCHAT00000004992		0	0	0	7	0	0	0	0	5	0	2	0	0	0	0	0
ENSCHAG00000003107	ENSCHAG00000003107	ENSCHAT00000005398	protein_coding	0	1	1	14	0	0	0	6	6	1	0	0	0	0	1	2
ENSCHAG00000003153	ENSCHAG00000003153	ENSCHAT00000005463	protein_coding	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	4
ENSCHAG00000003177	ENSCHAG00000003177	ENSCHAT00000005493	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	1
ENSCHAG00000003194	ENSCHAG00000003194	ENSCHAT00000005537	protein_coding	0	0	1	6	1	0	0	3	2	1	0	0	0	0	0	0
ENSCHAG00000003226	ENSCHAG00000003226	ENSCHAT00000005611	protein_coding	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	4
ENSCHAG00000003226	ENSCHAG00000003226	ENSCHAT00000005744	protein_coding	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	4
ENSCHAG00000003226	ENSCHAG00000003226	ENSCHAT00000005823	protein_coding	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	4
ENSCHAG00000003226	ENSCHAG00000003226	ENSCHAT00000005909	protein_coding	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	4
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006253	protein_coding	0	4	14	2	0	0	0	1	1	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006575	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006699	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006769	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006910	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000006979	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000007082	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003516	ENSCHAG00000003516	ENSCHAT00000007236	protein_coding	0	4	14	2	0	0	0	2	0	14	0	0	0	0	4	0
ENSCHAG00000003649	ENSCHAG00000003649	ENSCHAT00000006621	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0
ENSCHAG00000003649	ENSCHAG00000003649	ENSCHAT00000006685	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0
ENSCHAG00000003649	ENSCHAG00000003649	ENSCHAT00000006766	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0
ENSCHAG00000003649	ENSCHAG00000003649	ENSCHAT00000006832	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0
ENSCHAG00000003729	ENSCHAG00000003729	ENSCHAT00000006675		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000004049	ENSCHAG00000004049	ENSCHAT00000007332	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000004076	ENSCHAG00000004076	ENSCHAT00000007350	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000004089	ENSCHAG00000004089	ENSCHAT00000007390	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000004184	ENSCHAG00000004184	ENSCHAT00000007629	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000004261	ENSCHAG00000004261	ENSCHAT00000007955	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000004261	ENSCHAG00000004261	ENSCHAT00000008000	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000004356	ENSCHAG00000004356	ENSCHAT00000007925		0	0	0	5	0	0	0	1	2	0	2	0	0	0	0	0
ENSCHAG00000004471	ENSCHAG00000004471	ENSCHAT00000008136		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSCHAG00000004471	ENSCHAG00000004471	ENSCHAT00000008139		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSCHAG00000004553	ENSCHAG00000004553	ENSCHAT00000008323		0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0
ENSCHAG00000004553	ENSCHAG00000004553	ENSCHAT00000008329		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000005097	ENSCHAG00000005097	ENSCHAT00000009440		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005105	ENSCHAG00000005105	ENSCHAT00000009462	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000005139	ENSCHAG00000005139	ENSCHAT00000009555		0	0	0	10	0	0	0	1	7	0	0	0	0	0	0	2
ENSCHAG00000005355	ENSCHAG00000005355	ENSCHAT00000010046	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005360	ENSCHAG00000005360	ENSCHAT00000010109	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005603	ENSCHAG00000005603	ENSCHAT00000010955	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005603	ENSCHAG00000005603	ENSCHAT00000011023	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005603	ENSCHAG00000005603	ENSCHAT00000011093	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005603	ENSCHAG00000005603	ENSCHAT00000011113	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005603	ENSCHAG00000005603	ENSCHAT00000011160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005805	ENSCHAG00000005805	ENSCHAT00000011409	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005805	ENSCHAG00000005805	ENSCHAT00000011470	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005909	ENSCHAG00000005909	ENSCHAT00000011425		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005912	ENSCHAG00000005912	ENSCHAT00000011428		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005944	ENSCHAG00000005944	ENSCHAT00000011517	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005985	ENSCHAG00000005985	ENSCHAT00000011574	protein_coding	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0
ENSCHAG00000005985	ENSCHAG00000005985	ENSCHAT00000011604	protein_coding	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0
ENSCHAG00000006002	ENSCHAG00000006002	ENSCHAT00000011638	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006212	ENSCHAG00000006212	ENSCHAT00000012159	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000006212	ENSCHAG00000006212	ENSCHAT00000012177	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000006212	ENSCHAG00000006212	ENSCHAT00000012225	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000006273	ENSCHAG00000006273	ENSCHAT00000012322	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000006273	ENSCHAG00000006273	ENSCHAT00000012346	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000006287	ENSCHAG00000006287	ENSCHAT00000012369	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006287	ENSCHAG00000006287	ENSCHAT00000012392	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006428	ENSCHAG00000006428	ENSCHAT00000012694		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000013833	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000013856	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000013905	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000013924	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000013961	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006467	ENSCHAG00000006467	ENSCHAT00000014013	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006541	ENSCHAG00000006541	ENSCHAT00000012962		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000006819	ENSCHAG00000006819	ENSCHAT00000013599		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000007056	ENSCHAG00000007056	ENSCHAT00000014137	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007454	ENSCHAG00000007454	ENSCHAT00000015074	protein_coding	0	0	0	7	0	0	0	1	2	0	0	0	0	0	0	4
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016068	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016124	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016167	protein_coding	1	0	0	17	1	0	0	3	9	0	0	1	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016203	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016252	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016291	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007477	ENSCHAG00000007477	ENSCHAT00000016324	protein_coding	0	0	0	18	1	0	0	3	9	0	0	0	0	0	0	5
ENSCHAG00000007840	ENSCHAG00000007840	ENSCHAT00000015989	protein_coding	0	0	0	52	0	0	0	0	52	0	0	0	0	0	0	0
ENSCHAG00000007865	ENSCHAG00000007865	ENSCHAT00000016041	protein_coding	0	0	0	52	0	0	0	0	52	0	0	0	0	0	0	0
ENSCHAG00000007865	ENSCHAG00000007865	ENSCHAT00000016046	protein_coding	0	0	0	49	0	0	0	0	49	0	0	0	0	0	0	0
ENSCHAG00000007898	ENSCHAG00000007898	ENSCHAT00000016159	protein_coding	0	0	0	8	0	0	0	4	2	0	0	0	0	0	0	2
ENSCHAG00000007919	ENSCHAG00000007919	ENSCHAT00000016169		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000007950	ENSCHAG00000007950	ENSCHAT00000016271		0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	5
ENSCHAG00000007985	ENSCHAG00000007985	ENSCHAT00000016346	protein_coding	0	0	0	7	0	0	0	1	1	0	0	0	0	0	0	5
ENSCHAG00000007996	ENSCHAG00000007996	ENSCHAT00000016375	protein_coding	0	0	0	8	0	0	0	1	6	0	0	0	0	0	0	1
ENSCHAG00000008025	ENSCHAG00000008025	ENSCHAT00000016430		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000008502	ENSCHAG00000008502	ENSCHAT00000018831	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0
ENSCHAG00000008502	ENSCHAG00000008502	ENSCHAT00000018950	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0
ENSCHAG00000008502	ENSCHAG00000008502	ENSCHAT00000019053	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0
ENSCHAG00000008765	ENSCHAG00000008765	ENSCHAT00000018190		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000008921	ENSCHAG00000008921	ENSCHAT00000018632	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
ENSCHAG00000008921	ENSCHAG00000008921	ENSCHAT00000018652	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
ENSCHAG00000008939	ENSCHAG00000008939	ENSCHAT00000018738	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000009072	ENSCHAG00000009072	ENSCHAT00000018938	protein_coding	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2
ENSCHAG00000009156	ENSCHAG00000009156	ENSCHAT00000019267	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009343	ENSCHAG00000009343	ENSCHAT00000019679	protein_coding	0	0	0	42	0	0	0	8	34	0	0	0	0	0	0	0
ENSCHAG00000009343	ENSCHAG00000009343	ENSCHAT00000019731	protein_coding	0	0	0	37	0	0	0	8	23	0	0	0	0	0	0	6
ENSCHAG00000009343	ENSCHAG00000009343	ENSCHAT00000019760	protein_coding	0	0	0	12	0	0	0	5	7	0	0	0	0	0	0	0
ENSCHAG00000009539	ENSCHAG00000009539	ENSCHAT00000020147	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000009616	ENSCHAG00000009616	ENSCHAT00000020377	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
