# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DGKD	ENSCHAG00000023771	ENSCHAT00000057206	protein_coding	0	0	0	14	0	0	0	7	6	0	0	0	0	0	1
DGKD	ENSCHAG00000023771	ENSCHAT00000057252	protein_coding	0	0	0	7	0	0	0	3	2	0	0	0	0	0	2
DGKD	ENSCHAG00000023771	ENSCHAT00000057259	protein_coding	0	0	0	14	0	0	0	7	5	0	0	0	0	0	2
EFEMP1	ENSCHAG00000013447	ENSCHAT00000030609	protein_coding	0	0	0	8	1	0	0	4	3	0	0	0	0	0	0
EFEMP1	ENSCHAG00000013447	ENSCHAT00000030651	protein_coding	0	0	0	8	1	0	0	4	3	0	0	0	0	0	0
EFEMP1	ENSCHAG00000013447	ENSCHAT00000030701	protein_coding	0	0	0	8	1	0	0	4	3	0	0	0	0	0	0
ENSCHAG00000000258	ENSCHAG00000000258	ENSCHAT00000000434		0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
ENSCHAG00000000303	ENSCHAG00000000303	ENSCHAT00000000569	protein_coding	0	0	2	26	0	0	0	9	8	2	0	0	0	0	9
ENSCHAG00000000303	ENSCHAG00000000303	ENSCHAT00000000587	protein_coding	0	0	2	25	0	0	0	9	4	2	0	0	0	0	12
ENSCHAG00000000303	ENSCHAG00000000303	ENSCHAT00000000606	protein_coding	0	0	2	25	0	0	0	9	4	2	0	0	0	0	12
ENSCHAG00000000417	ENSCHAG00000000417	ENSCHAT00000000683	protein_coding	0	0	1	24	0	0	0	13	3	1	0	0	0	0	8
ENSCHAG00000000437	ENSCHAG00000000437	ENSCHAT00000000715	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000476	ENSCHAG00000000476	ENSCHAT00000000782		0	0	0	7	0	0	0	0	4	0	0	0	0	0	3
ENSCHAG00000000521	ENSCHAG00000000521	ENSCHAT00000000946	protein_coding	0	1	0	27	1	0	0	11	9	0	0	0	0	1	6
ENSCHAG00000000521	ENSCHAG00000000521	ENSCHAT00000000972	protein_coding	0	1	0	27	1	0	0	11	9	0	0	0	0	1	6
ENSCHAG00000000555	ENSCHAG00000000555	ENSCHAT00000000897		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000595	ENSCHAG00000000595	ENSCHAT00000000944	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0
ENSCHAG00000000595	ENSCHAG00000000595	ENSCHAT00000000969	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0
ENSCHAG00000000595	ENSCHAG00000000595	ENSCHAT00000000982	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	1
ENSCHAG00000000595	ENSCHAG00000000595	ENSCHAT00000001000	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
ENSCHAG00000000647	ENSCHAG00000000647	ENSCHAT00000001016	protein_coding	0	0	0	15	0	0	0	1	10	0	0	0	0	0	4
ENSCHAG00000000835	ENSCHAG00000000835	ENSCHAT00000001308		0	0	0	7	0	0	0	3	0	0	2	0	0	0	2
ENSCHAG00000001075	ENSCHAG00000001075	ENSCHAT00000001700		0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
ENSCHAG00000001153	ENSCHAG00000001153	ENSCHAT00000001815		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001177	ENSCHAG00000001177	ENSCHAT00000001927	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001177	ENSCHAG00000001177	ENSCHAT00000001942	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001177	ENSCHAG00000001177	ENSCHAT00000001965	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001249	ENSCHAG00000001249	ENSCHAT00000001952	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002114	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002211	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002329	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002465	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002502	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
ENSCHAG00000001316	ENSCHAG00000001316	ENSCHAT00000002589	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0
ENSCHAG00000001342	ENSCHAG00000001342	ENSCHAT00000002110	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
ENSCHAG00000001408	ENSCHAG00000001408	ENSCHAT00000002214		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000001411	ENSCHAG00000001411	ENSCHAT00000002240	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
ENSCHAG00000001428	ENSCHAG00000001428	ENSCHAT00000002276		0	0	0	11	0	0	0	3	2	0	1	0	0	0	5
ENSCHAG00000001451	ENSCHAG00000001451	ENSCHAT00000002303		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001455	ENSCHAG00000001455	ENSCHAT00000002307		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001460	ENSCHAG00000001460	ENSCHAT00000002310		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001668	ENSCHAG00000001668	ENSCHAT00000002752	protein_coding	0	0	0	9	0	0	0	4	1	0	0	0	0	0	4
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003669	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003694	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003702	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003746	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003837	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003868	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003984	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004003	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004022	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004049	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000002094	ENSCHAG00000002094	ENSCHAT00000003612	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000002114	ENSCHAG00000002114	ENSCHAT00000003660	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000002114	ENSCHAG00000002114	ENSCHAT00000003679	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000002173	ENSCHAG00000002173	ENSCHAT00000003823	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	0	1
ENSCHAG00000002192	ENSCHAG00000002192	ENSCHAT00000003846	protein_coding	0	0	0	9	0	0	0	7	1	0	0	0	0	0	1
ENSCHAG00000002497	ENSCHAG00000002497	ENSCHAT00000004351	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0
ENSCHAG00000002497	ENSCHAG00000002497	ENSCHAT00000004404	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0
ENSCHAG00000002560	ENSCHAG00000002560	ENSCHAT00000004533	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000002619	ENSCHAG00000002619	ENSCHAT00000004663	protein_coding	0	1	0	18	0	0	1	3	10	0	0	0	0	1	4
ENSCHAG00000002619	ENSCHAG00000002619	ENSCHAT00000004755	protein_coding	0	0	0	6	0	0	0	3	1	0	0	0	0	0	2
ENSCHAG00000002650	ENSCHAG00000002650	ENSCHAT00000004721	protein_coding	0	0	0	9	0	0	0	7	2	0	0	0	0	0	0
ENSCHAG00000002650	ENSCHAG00000002650	ENSCHAT00000004788	protein_coding	0	0	0	9	0	0	0	7	2	0	0	0	0	0	0
ENSCHAG00000002897	ENSCHAG00000002897	ENSCHAT00000004955	protein_coding	0	0	2	5	0	0	0	1	3	2	0	0	0	0	1
ENSCHAG00000003037	ENSCHAG00000003037	ENSCHAT00000005223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003209	ENSCHAG00000003209	ENSCHAT00000005551		0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
ENSCHAG00000003276	ENSCHAG00000003276	ENSCHAT00000005677	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000003289	ENSCHAG00000003289	ENSCHAT00000005888	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003308	ENSCHAG00000003308	ENSCHAT00000005781	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003531	ENSCHAG00000003531	ENSCHAT00000006274	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000003568	ENSCHAG00000003568	ENSCHAT00000006305	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000003663	ENSCHAG00000003663	ENSCHAT00000006559	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
ENSCHAG00000004091	ENSCHAG00000004091	ENSCHAT00000007471	protein_coding	0	2	2	7	0	0	0	3	1	2	0	1	0	1	4
ENSCHAG00000004131	ENSCHAG00000004131	ENSCHAT00000007465	protein_coding	0	0	0	8	0	0	0	2	0	0	0	0	0	0	6
ENSCHAG00000004142	ENSCHAG00000004142	ENSCHAT00000007487		0	0	0	10	0	0	0	2	0	0	0	0	0	0	8
ENSCHAG00000004900	ENSCHAG00000004900	ENSCHAT00000009016	protein_coding	0	1	0	16	0	0	0	1	11	0	0	1	0	0	5
ENSCHAG00000004916	ENSCHAG00000004916	ENSCHAT00000009133	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000004925	ENSCHAG00000004925	ENSCHAT00000009075		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
ENSCHAG00000004925	ENSCHAG00000004925	ENSCHAT00000009076		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010040	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010096	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010139	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010240	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010294	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010378	protein_coding	0	1	0	12	0	0	0	2	9	0	0	0	0	1	1
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010410	protein_coding	0	1	0	13	0	0	0	2	9	0	0	0	0	1	2
ENSCHAG00000005003	ENSCHAG00000005003	ENSCHAT00000010455	protein_coding	0	1	0	12	0	0	0	2	9	0	0	0	0	1	1
ENSCHAG00000005423	ENSCHAG00000005423	ENSCHAT00000010230	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000005431	ENSCHAG00000005431	ENSCHAT00000010233		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000005453	ENSCHAG00000005453	ENSCHAT00000011732	protein_coding	0	0	0	8	0	0	0	2	5	0	0	0	0	0	1
ENSCHAG00000005453	ENSCHAG00000005453	ENSCHAT00000011961	protein_coding	0	0	0	8	0	0	0	2	5	0	0	0	0	0	1
ENSCHAG00000005453	ENSCHAG00000005453	ENSCHAT00000012067	protein_coding	0	0	0	8	0	0	0	2	5	0	0	0	0	0	1
ENSCHAG00000005453	ENSCHAG00000005453	ENSCHAT00000012193	protein_coding	0	0	0	8	0	0	0	2	5	0	0	0	0	0	1
ENSCHAG00000005868	ENSCHAG00000005868	ENSCHAT00000011342		0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
ENSCHAG00000005881	ENSCHAG00000005881	ENSCHAT00000011366		0	0	0	3	0	0	0	1	1	0	1	0	0	0	0
ENSCHAG00000005955	ENSCHAG00000005955	ENSCHAT00000011514	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0
ENSCHAG00000006612	ENSCHAG00000006612	ENSCHAT00000013098		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000006612	ENSCHAG00000006612	ENSCHAT00000013099		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000006612	ENSCHAG00000006612	ENSCHAT00000013100		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006672	ENSCHAG00000006672	ENSCHAT00000013270	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006690	ENSCHAG00000006690	ENSCHAT00000013381	pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000006718	ENSCHAG00000006718	ENSCHAT00000013426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014035	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014092	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014135	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014203	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021280	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021338	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021426	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021595	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021612	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021639	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021740	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021775	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021833	protein_coding	0	0	0	53	0	0	0	0	53	0	0	0	0	0	0
ENSCHAG00000006766	ENSCHAG00000006766	ENSCHAT00000021879	protein_coding	0	0	0	22	0	0	0	0	22	0	0	0	0	0	0
ENSCHAG00000007524	ENSCHAG00000007524	ENSCHAT00000015261	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000007612	ENSCHAG00000007612	ENSCHAT00000015545	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000007612	ENSCHAG00000007612	ENSCHAT00000015562	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	4
ENSCHAG00000007612	ENSCHAG00000007612	ENSCHAT00000015625	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	4
ENSCHAG00000007698	ENSCHAG00000007698	ENSCHAT00000015716	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	1
ENSCHAG00000007723	ENSCHAG00000007723	ENSCHAT00000015814	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
ENSCHAG00000008102	ENSCHAG00000008102	ENSCHAT00000016769	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000008102	ENSCHAG00000008102	ENSCHAT00000016780	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000008183	ENSCHAG00000008183	ENSCHAT00000016851	protein_coding	0	0	0	14	0	0	2	4	4	0	0	0	0	0	4
ENSCHAG00000008423	ENSCHAG00000008423	ENSCHAT00000017384		0	0	0	7	0	0	0	2	4	0	0	0	0	0	1
ENSCHAG00000008423	ENSCHAG00000008423	ENSCHAT00000017388		0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
ENSCHAG00000008966	ENSCHAG00000008966	ENSCHAT00000018722		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000008966	ENSCHAG00000008966	ENSCHAT00000018723		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000008972	ENSCHAG00000008972	ENSCHAT00000018733	protein_coding	0	0	0	10	0	0	0	6	1	0	0	0	0	0	3
ENSCHAG00000008976	ENSCHAG00000008976	ENSCHAT00000018744	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
ENSCHAG00000008978	ENSCHAG00000008978	ENSCHAT00000018777	protein_coding	0	0	0	6	0	0	0	5	1	0	0	0	0	0	0
ENSCHAG00000009023	ENSCHAG00000009023	ENSCHAT00000018842		0	0	0	7	0	0	0	2	3	0	2	0	0	0	0
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000023997	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000024096	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000024237	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000024285	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000024370	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009056	ENSCHAG00000009056	ENSCHAT00000024407	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000009129	ENSCHAG00000009129	ENSCHAT00000019105	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	3
ENSCHAG00000009140	ENSCHAG00000009140	ENSCHAT00000019149	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	3
ENSCHAG00000009169	ENSCHAG00000009169	ENSCHAT00000019181	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000009974	ENSCHAG00000009974	ENSCHAT00000021408	protein_coding	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0
ENSCHAG00000009996	ENSCHAG00000009996	ENSCHAT00000021427		0	0	0	4	0	0	0	3	1	0	0	0	0	0	0
ENSCHAG00000010000	ENSCHAG00000010000	ENSCHAT00000021465	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ENSCHAG00000010000	ENSCHAG00000010000	ENSCHAT00000021493	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021773	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021838	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021855	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021902	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021970	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021988	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000022039	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
ENSCHAG00000010247	ENSCHAG00000010247	ENSCHAT00000023035	pseudogene	0	0	0	21	0	0	0	0	18	0	3	0	0	0	0
ENSCHAG00000010642	ENSCHAG00000010642	ENSCHAT00000023020	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000010786	ENSCHAG00000010786	ENSCHAT00000023402		0	0	0	11	0	0	0	8	0	0	1	0	0	0	2
ENSCHAG00000010787	ENSCHAG00000010787	ENSCHAT00000023405		0	0	0	16	0	0	0	7	0	0	1	0	0	0	8
ENSCHAG00000011082	ENSCHAG00000011082	ENSCHAT00000024162	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
ENSCHAG00000011188	ENSCHAG00000011188	ENSCHAT00000024517	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000011188	ENSCHAG00000011188	ENSCHAT00000024545	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	2
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000029575	protein_coding	0	1	0	20	0	0	0	1	16	0	0	0	0	1	3
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000029611	protein_coding	0	1	0	20	0	0	0	1	16	0	0	0	0	1	3
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000029928	protein_coding	0	1	0	17	0	0	0	1	15	0	0	0	0	1	1
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000029971	protein_coding	0	1	0	17	0	0	0	1	15	0	0	0	0	1	1
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000029986	protein_coding	0	1	0	17	0	0	0	1	15	0	0	0	0	1	1
ENSCHAG00000011306	ENSCHAG00000011306	ENSCHAT00000030024	protein_coding	0	0	0	18	0	0	0	1	16	0	0	0	0	0	1
