# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003868	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003984	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004003	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004022	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004049	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001707	ENSCHAG00000001707	ENSCHAT00000002804	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000002372	ENSCHAG00000002372	ENSCHAT00000004282	protein_coding	0	0	0	8	0	0	0	1	3	0	0	0	0	0	0	4
ENSCHAG00000002458	ENSCHAG00000002458	ENSCHAT00000004310		0	0	0	6	0	0	0	2	0	0	4	0	0	0	0	0
ENSCHAG00000002621	ENSCHAG00000002621	ENSCHAT00000004517	protein_coding	0	1	1	5	0	0	0	5	0	1	0	0	0	0	1	0
ENSCHAG00000002689	ENSCHAG00000002689	ENSCHAT00000004601	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
ENSCHAG00000002701	ENSCHAG00000002701	ENSCHAT00000004630		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000002703	ENSCHAG00000002703	ENSCHAT00000004636		0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0
ENSCHAG00000002710	ENSCHAG00000002710	ENSCHAT00000004686	protein_coding	0	2	3	27	0	0	0	5	7	3	0	0	0	0	2	15
ENSCHAG00000002747	ENSCHAG00000002747	ENSCHAT00000004700	protein_coding	0	0	0	22	0	0	0	7	4	0	0	0	0	0	0	11
ENSCHAG00000003093	ENSCHAG00000003093	ENSCHAT00000005314	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000003093	ENSCHAG00000003093	ENSCHAT00000005350	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000003142	ENSCHAG00000003142	ENSCHAT00000005403	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000003142	ENSCHAG00000003142	ENSCHAT00000005422	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000003173	ENSCHAG00000003173	ENSCHAT00000005515	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000003244	ENSCHAG00000003244	ENSCHAT00000005746	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000003244	ENSCHAG00000003244	ENSCHAT00000005802	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000003348	ENSCHAG00000003348	ENSCHAT00000005841	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000003841	ENSCHAG00000003841	ENSCHAT00000006915	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000004091	ENSCHAG00000004091	ENSCHAT00000007471	protein_coding	0	2	2	7	0	0	0	3	1	2	0	0	0	1	1	4
ENSCHAG00000004142	ENSCHAG00000004142	ENSCHAT00000007487		0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	8
ENSCHAG00000004347	ENSCHAG00000004347	ENSCHAT00000007907		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0
ENSCHAG00000004449	ENSCHAG00000004449	ENSCHAT00000008129	protein_coding	0	1	1	17	0	0	0	10	2	1	0	0	0	2	0	6
ENSCHAG00000004520	ENSCHAG00000004520	ENSCHAT00000008244	protein_coding	0	0	1	7	0	0	0	0	7	1	0	0	0	0	0	0
ENSCHAG00000006367	ENSCHAG00000006367	ENSCHAT00000012554		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006369	ENSCHAG00000006369	ENSCHAT00000012559		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSCHAG00000006372	ENSCHAG00000006372	ENSCHAT00000012564		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000006374	ENSCHAG00000006374	ENSCHAT00000012567		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSCHAG00000006426	ENSCHAG00000006426	ENSCHAT00000012691	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006440	ENSCHAG00000006440	ENSCHAT00000012717	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000006588	ENSCHAG00000006588	ENSCHAT00000013059	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000006606	ENSCHAG00000006606	ENSCHAT00000013351	protein_coding	0	0	0	23	0	0	0	0	22	0	0	0	0	0	0	1
ENSCHAG00000006655	ENSCHAG00000006655	ENSCHAT00000013181	protein_coding	0	0	0	20	0	0	0	11	2	0	0	0	0	0	0	7
ENSCHAG00000006661	ENSCHAG00000006661	ENSCHAT00000013203	protein_coding	0	0	0	17	0	0	1	0	6	0	0	0	0	0	0	10
ENSCHAG00000006819	ENSCHAG00000006819	ENSCHAT00000013599		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006833	ENSCHAG00000006833	ENSCHAT00000013626	protein_coding	0	0	0	13	2	0	0	5	5	0	0	0	0	0	0	1
ENSCHAG00000006857	ENSCHAG00000006857	ENSCHAT00000014192	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0
ENSCHAG00000006857	ENSCHAG00000006857	ENSCHAT00000014255	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0
ENSCHAG00000006857	ENSCHAG00000006857	ENSCHAT00000014293	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000006857	ENSCHAG00000006857	ENSCHAT00000014365	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006857	ENSCHAG00000006857	ENSCHAT00000014403	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000007008	ENSCHAG00000007008	ENSCHAT00000014036		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000007013	ENSCHAG00000007013	ENSCHAT00000014044		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000007016	ENSCHAG00000007016	ENSCHAT00000014051	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000007022	ENSCHAG00000007022	ENSCHAT00000014097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007043	ENSCHAG00000007043	ENSCHAT00000014110		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007056	ENSCHAG00000007056	ENSCHAT00000014137	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007146	ENSCHAG00000007146	ENSCHAT00000014494	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007176	ENSCHAG00000007176	ENSCHAT00000014465	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000007206	ENSCHAG00000007206	ENSCHAT00000014488	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0
ENSCHAG00000007216	ENSCHAG00000007216	ENSCHAT00000014599	protein_coding	0	1	0	6	0	0	0	4	1	0	0	0	0	1	0	2
ENSCHAG00000007655	ENSCHAG00000007655	ENSCHAT00000015585	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000007691	ENSCHAG00000007691	ENSCHAT00000015647		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007697	ENSCHAG00000007697	ENSCHAT00000015650		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000016471	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000017635	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000017829	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000018009	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000018135	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000007930	ENSCHAG00000007930	ENSCHAT00000016305	protein_coding	0	9	14	3	0	0	0	2	2	14	0	0	0	1	8	0
ENSCHAG00000007933	ENSCHAG00000007933	ENSCHAT00000016216	protein_coding	0	0	0	14	0	0	0	0	11	0	0	0	0	0	0	3
ENSCHAG00000007975	ENSCHAG00000007975	ENSCHAT00000016378	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2
ENSCHAG00000008007	ENSCHAG00000008007	ENSCHAT00000016466	protein_coding	0	3	2	4	0	0	0	1	2	2	0	0	0	0	3	1
ENSCHAG00000008082	ENSCHAG00000008082	ENSCHAT00000016590	protein_coding	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0
ENSCHAG00000008095	ENSCHAG00000008095	ENSCHAT00000016626	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000008095	ENSCHAG00000008095	ENSCHAT00000016662	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000008095	ENSCHAG00000008095	ENSCHAT00000016702	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000008402	ENSCHAG00000008402	ENSCHAT00000017350	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000008409	ENSCHAG00000008409	ENSCHAT00000017364		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000008414	ENSCHAG00000008414	ENSCHAT00000017470	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000008464	ENSCHAG00000008464	ENSCHAT00000017478		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000008465	ENSCHAG00000008465	ENSCHAT00000017483		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000008465	ENSCHAG00000008465	ENSCHAT00000017484		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000008469	ENSCHAG00000008469	ENSCHAT00000017493	protein_coding	0	0	0	10	0	0	0	1	1	0	0	0	0	0	0	8
ENSCHAG00000008469	ENSCHAG00000008469	ENSCHAT00000017507	protein_coding	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	8
ENSCHAG00000008484	ENSCHAG00000008484	ENSCHAT00000017545	pseudogene	0	0	0	8	0	0	0	1	0	0	6	0	0	0	0	1
ENSCHAG00000008791	ENSCHAG00000008791	ENSCHAT00000018254	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000008836	ENSCHAG00000008836	ENSCHAT00000018419	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009040	ENSCHAG00000009040	ENSCHAT00000018893	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000009040	ENSCHAG00000009040	ENSCHAT00000018899	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000009134	ENSCHAG00000009134	ENSCHAT00000019095		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000009137	ENSCHAG00000009137	ENSCHAT00000019102		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000009171	ENSCHAG00000009171	ENSCHAT00000019214	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019355	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019380	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019442	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019479	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000009216	ENSCHAG00000009216	ENSCHAT00000019291		0	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020089	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020102	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020154	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020183	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020219	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009323	ENSCHAG00000009323	ENSCHAT00000019637	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000009332	ENSCHAG00000009332	ENSCHAT00000019647		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000009402	ENSCHAG00000009402	ENSCHAT00000019852	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000009402	ENSCHAG00000009402	ENSCHAT00000019873	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000009431	ENSCHAG00000009431	ENSCHAT00000019882		0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2
ENSCHAG00000009433	ENSCHAG00000009433	ENSCHAT00000019883		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000009604	ENSCHAG00000009604	ENSCHAT00000020384	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000009604	ENSCHAG00000009604	ENSCHAT00000020394	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009692	ENSCHAG00000009692	ENSCHAT00000020561		0	0	0	16	0	0	0	7	5	0	1	0	0	0	0	3
ENSCHAG00000009692	ENSCHAG00000009692	ENSCHAT00000020566		0	0	0	14	0	0	0	7	5	0	1	0	0	0	0	1
ENSCHAG00000009696	ENSCHAG00000009696	ENSCHAT00000020568	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0
ENSCHAG00000010036	ENSCHAG00000010036	ENSCHAT00000021527	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000010174	ENSCHAG00000010174	ENSCHAT00000021886		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000010177	ENSCHAG00000010177	ENSCHAT00000021895		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000010178	ENSCHAG00000010178	ENSCHAT00000021901		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000010708	ENSCHAG00000010708	ENSCHAT00000023202	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0
ENSCHAG00000010708	ENSCHAG00000010708	ENSCHAT00000023246	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0
ENSCHAG00000010708	ENSCHAG00000010708	ENSCHAT00000023347	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0
ENSCHAG00000010806	ENSCHAG00000010806	ENSCHAT00000023451		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000010810	ENSCHAG00000010810	ENSCHAT00000023628	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000010877	ENSCHAG00000010877	ENSCHAT00000023627		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSCHAG00000010886	ENSCHAG00000010886	ENSCHAT00000023642		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000010886	ENSCHAG00000010886	ENSCHAT00000023644		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000010886	ENSCHAG00000010886	ENSCHAT00000023649		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000010910	ENSCHAG00000010910	ENSCHAT00000023881	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000010910	ENSCHAG00000010910	ENSCHAT00000023913	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000010910	ENSCHAG00000010910	ENSCHAT00000023965	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000011028	ENSCHAG00000011028	ENSCHAT00000023978		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000011032	ENSCHAG00000011032	ENSCHAT00000023979		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000024174	protein_coding	0	0	0	5	0	0	0	3	2	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000024217	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000024265	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000024322	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000024347	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000025331	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000025898	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000025944	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011054	ENSCHAG00000011054	ENSCHAT00000027272	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000011120	ENSCHAG00000011120	ENSCHAT00000024225	protein_coding	0	0	0	59	0	0	0	0	59	0	0	0	0	0	0	0
